,real,synthetic
783,0.00021496130696474635,0.0
784,0.0,0.0
785,0.0,0.0
786,0.0008598452278589854,0.0
787,0.0,0.0
788,0.00010748065348237318,0.0
789,0.00032244196044711954,0.0
790,0.0012897678417884782,0.0
791,0.0,0.0
792,0.0004299226139294927,0.0
793,0.00021496130696474635,0.0
794,0.0,0.0
795,0.00010748065348237318,0.0
796,0.00010748065348237318,0.0
797,0.0,0.0
798,0.0007523645743766122,0.0
799,0.0006448839208942391,0.0
800,0.0,0.0
801,0.0,0.0
802,0.00032244196044711954,0.0
803,0.00032244196044711954,0.0
804,0.00021496130696474635,0.0
805,0.0007523645743766122,0.0
806,0.00010748065348237318,0.0
807,0.00021496130696474635,0.0
808,0.00010748065348237318,0.0
809,0.0,0.0
810,0.00010748065348237318,0.0
811,0.0,0.0
812,0.00010748065348237318,0.0
813,0.0,0.0
814,0.0007523645743766122,0.0
815,0.0004299226139294927,0.0
816,0.00032244196044711954,0.0
817,0.00021496130696474635,0.0
818,0.0011822871883061048,0.0
819,0.0007523645743766122,0.0
820,0.00021496130696474635,0.0
821,0.00032244196044711954,0.0
822,0.0004299226139294927,0.0
823,0.0,0.0
824,0.0,0.0
825,0.0006448839208942391,0.0
826,0.00010748065348237318,0.0
827,0.00021496130696474635,0.0
828,0.0011822871883061048,0.0
829,0.0,0.0
830,0.00010748065348237318,0.0
831,0.0,0.0
832,0.0004299226139294927,0.0
833,0.0,0.0
834,0.0005374032674118659,0.0
835,0.0013972484952708513,0.0
836,0.00010748065348237318,0.0
837,0.0004299226139294927,0.0
838,0.0,0.0
839,0.0,0.0
840,0.0006448839208942391,0.0
841,0.00021496130696474635,0.0
842,0.00021496130696474635,0.0
843,0.0004299226139294927,0.0
844,0.0,0.0
845,0.0004299226139294927,0.0
846,0.0008598452278589854,0.0
847,0.00021496130696474635,0.0
848,0.0,0.0
849,0.0004299226139294927,0.0
850,0.0004299226139294927,0.0
851,0.00021496130696474635,0.0
852,0.00021496130696474635,0.0
853,0.00032244196044711954,0.0
854,0.0006448839208942391,0.0
855,0.0004299226139294927,0.0
856,0.0,0.0
857,0.00021496130696474635,0.0
858,0.0,0.0
859,0.00010748065348237318,0.0
860,0.0,0.0
861,0.00021496130696474635,0.0
862,0.00010748065348237318,0.0
863,0.00010748065348237318,0.0
864,0.00021496130696474635,0.0
865,0.00032244196044711954,0.0
866,0.0,0.0
867,0.0007523645743766122,0.0
868,0.00010748065348237318,0.0
869,0.00021496130696474635,0.0
870,0.0004299226139294927,0.0
871,0.0006448839208942391,0.0
872,0.0045141874462596735,0.0
873,0.00032244196044711954,0.0
874,0.00021496130696474635,0.0
875,0.0011822871883061048,0.0
876,0.0006448839208942391,0.0
877,0.0006448839208942391,0.0
878,0.00010748065348237318,0.0
879,0.00010748065348237318,0.0
880,0.00010748065348237318,0.0
881,0.00032244196044711954,0.0
882,0.00010748065348237318,0.0
883,0.00021496130696474635,0.0
884,0.00032244196044711954,0.0
885,0.0009673258813413585,0.0
886,0.0,0.0
887,0.0,0.0
888,0.00021496130696474635,0.0
889,0.00021496130696474635,0.0
890,0.0011822871883061048,0.0
891,0.00010748065348237318,0.0
892,0.0,0.0
893,0.0,0.0
894,0.00010748065348237318,0.0
895,0.00010748065348237318,0.0
896,0.0,0.0
897,0.00021496130696474635,0.0
898,0.0,0.0
899,0.00010748065348237318,0.0
900,0.0,0.0
901,0.0011822871883061048,0.0
902,0.00032244196044711954,0.0
903,0.0,0.0
904,0.0,0.0
905,0.00021496130696474635,0.0
906,0.0,0.0
907,0.00010748065348237318,0.0
908,0.00032244196044711954,0.0
909,0.00010748065348237318,0.0
910,0.0,0.0
911,0.0,0.0
912,0.0004299226139294927,0.0
913,0.00032244196044711954,0.0
914,0.00032244196044711954,0.0
915,0.0005374032674118659,0.0
916,0.0,0.0
917,0.00032244196044711954,0.0
918,0.0,0.0
919,0.0,0.0
920,0.00010748065348237318,0.0
921,0.00032244196044711954,0.0
922,0.00021496130696474635,0.0
923,0.00021496130696474635,0.0
924,0.00010748065348237318,0.0
925,0.00010748065348237318,0.0
926,0.0,0.0
927,0.00032244196044711954,0.0
928,0.00032244196044711954,0.0
929,0.0,0.0
930,0.00021496130696474635,0.0
931,0.00032244196044711954,0.0
932,0.0,0.0
933,0.0,0.0
934,0.0,0.0
935,0.0,0.0
936,0.0,0.0
937,0.00032244196044711954,0.0
938,0.00010748065348237318,0.0
939,0.0,0.0
940,0.0,0.0
941,0.00010748065348237318,0.0
942,0.00021496130696474635,0.0
943,0.0013972484952708513,0.0
944,0.00010748065348237318,0.0
945,0.0,0.0
946,0.0,0.0
947,0.00021496130696474635,0.0
948,0.0,0.0
949,0.0011822871883061048,0.0
950,0.0006448839208942391,0.0
951,0.0,0.0
952,0.00010748065348237318,0.0
953,0.00032244196044711954,0.0
954,0.0,0.0
955,0.0,0.0
956,0.0,0.0
957,0.0,0.0
958,0.0,0.0
959,0.00021496130696474635,0.0
960,0.00021496130696474635,0.0
961,0.00021496130696474635,0.0
962,0.0,0.0
963,0.00010748065348237318,0.0
964,0.0,0.0
965,0.00010748065348237318,0.0
966,0.00032244196044711954,0.0
967,0.00032244196044711954,0.0
968,0.00010748065348237318,0.0
969,0.0,0.0
970,0.0,0.0
971,0.0,0.0
972,0.00010748065348237318,0.0
973,0.00010748065348237318,0.0
974,0.0,0.0
975,0.0,0.0
976,0.0,0.0
977,0.0,0.0
978,0.00010748065348237318,0.0
979,0.0,0.0
980,0.00021496130696474635,0.0
981,0.0,0.0
982,0.0,0.0
983,0.0005374032674118659,0.0
984,0.0,0.0
985,0.00021496130696474635,0.0
986,0.0,0.0
987,0.00021496130696474635,0.0
988,0.0,0.0
989,0.0,0.0
990,0.0,0.0
991,0.0006448839208942391,0.0
992,0.00010748065348237318,0.0
993,0.0,0.0
994,0.0,0.0
995,0.0,0.0
996,0.00021496130696474635,0.0
997,0.0,0.0
998,0.0,0.0
999,0.0,0.0
1000,0.00010748065348237318,0.0
1001,0.0,0.0
1002,0.0004299226139294927,0.0
1003,0.0,0.0
1004,0.00010748065348237318,0.0
1005,0.00010748065348237318,0.0
1006,0.0,0.0
1007,0.00010748065348237318,0.0
1008,0.00010748065348237318,0.0
1009,0.00021496130696474635,0.0
1010,0.00010748065348237318,0.0
1011,0.0007523645743766122,0.0
1012,0.0009673258813413585,0.0
1013,0.00010748065348237318,0.0
1014,0.00010748065348237318,0.0
1015,0.00032244196044711954,0.0
1016,0.00021496130696474635,0.0
1017,0.00010748065348237318,0.0
1018,0.00032244196044711954,0.0
1019,0.00021496130696474635,0.0
1020,0.00021496130696474635,0.0
1021,0.00010748065348237318,0.0
1022,0.00021496130696474635,0.0
1023,0.00021496130696474635,0.0
1024,0.00010748065348237318,0.0
1025,0.00010748065348237318,0.0
1026,0.00032244196044711954,0.0
1027,0.00021496130696474635,0.0
1028,0.00021496130696474635,0.0
1029,0.00021496130696474635,0.0
1030,0.0004299226139294927,0.0
1031,0.00021496130696474635,0.0
1032,0.00021496130696474635,0.0
1033,0.00010748065348237318,0.0
1034,0.00010748065348237318,0.0
1035,0.00010748065348237318,0.0
1036,0.00010748065348237318,0.0
1037,0.00010748065348237318,0.0
1038,0.00010748065348237318,0.0
1039,0.00010748065348237318,0.0
1040,0.00010748065348237318,0.0
1041,0.00010748065348237318,0.0
1042,0.0,0.0
1043,0.0,0.0
1044,0.0,0.0
1045,0.0,0.0
1046,0.0,0.0
1047,0.0,0.0
1048,0.0,0.0
1049,0.0,0.0
1050,0.0,0.0
1051,0.0,0.0
1052,0.0,0.0
1053,0.0,0.0
1054,0.0,0.0
1055,0.0,0.0
1056,0.0,0.0
1057,0.0,0.0
1058,0.0,0.0
1059,0.0,0.0
1060,0.0,0.0
1061,0.0,0.0
1062,0.0,0.0
1063,0.0,0.0
1064,0.0,0.0
1065,0.0,0.0
1066,0.0,0.0
1067,0.0,0.0
1068,0.0,0.0
1069,0.0,0.0
1070,0.0,0.0
